<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
USDRUB_TOM,D,2015-05-05,000000,52.128,52.352,50.352,50.496,3831024000,0
USDRUB_TOM,D,2015-05-06,000000,50.183,51.005,49.593,50.998,3620162000,0
USDRUB_TOM,D,2015-05-07,000000,50.951,50.952,49.978,50.29,3522314000,0
USDRUB_TOM,D,2015-05-12,000000,51.283,51.391,49.94,49.958,2776039000,0
USDRUB_TOM,D,2015-05-13,000000,49.955,49.993,48.829,49.27,3775809000,0
USDRUB_TOM,D,2015-05-14,000000,50.451,50.637,49.632,50.134,4078396000,0
USDRUB_TOM,D,2015-05-15,000000,50.028,50.209,49.23,49.57,3007247000,0
USDRUB_TOM,D,2015-05-18,000000,49.159,49.461,48.95,49.147,3208078000,0
USDRUB_TOM,D,2015-05-19,000000,49.286,49.7,48.922,49.57,4682448000,0
USDRUB_TOM,D,2015-05-20,000000,49.649,50.2,49.576,49.701,3842907000,0
USDRUB_TOM,D,2015-05-21,000000,50.024,50.15,49.498,49.99,3442224000,0
USDRUB_TOM,D,2015-05-25,000000,49.895,50.15,49.76,49.965,2355964000,0
USDRUB_TOM,D,2015-05-26,000000,50.301,50.989,50.215,50.96,4371632000,0
USDRUB_TOM,D,2015-05-27,000000,50.842,52.05,50.72,51.99,5596527000,0
USDRUB_TOM,D,2015-05-28,000000,51.805,52.98,51.8,52.6,5307860000,0
USDRUB_TOM,D,2015-06-01,000000,52.597,53.625,52.519,53.625,3659561000,0
USDRUB_TOM,D,2015-06-02,000000,53.651,53.75,52.721,52.78,3778707000,0
USDRUB_TOM,D,2015-06-04,000000,54.85,56.675,54.614,56.46,5805943000,0
USDRUB_TOM,D,2015-06-08,000000,56.12,56.401,55.62,55.995,3972788000,0
USDRUB_TOM,D,2015-06-09,000000,55.566,56.125,55.508,55.545,3711437000,0
USDRUB_TOM,D,2015-06-10,000000,55.26,55.26,53.781,54.331,5522965000,0
USDRUB_TOM,D,2015-06-15,000000,55.489,55.571,54.34,54.5,4831283000,0
USDRUB_TOM,D,2015-06-16,000000,54.363,54.463,53.502,53.78,3944075000,0
USDRUB_TOM,D,2015-06-17,000000,53.799,54.345,53.455,53.6,3841108000,0
USDRUB_TOM,D,2015-06-18,000000,53.752,53.95,53.005,53.47,5192443000,0
USDRUB_TOM,D,2015-06-22,000000,53.923,54.084,53.352,53.95,3480768000,0
USDRUB_TOM,D,2015-06-23,000000,53.967,54.681,53.55,53.855,4151485000,0
USDRUB_TOM,D,2015-06-24,000000,53.85,54.726,53.616,54.446,4433492000,0
USDRUB_TOM,D,2015-06-25,000000,54.411,54.955,54.351,54.72,3557554000,0
USDRUB_TOM,D,2015-06-29,000000,55.432,55.765,55.172,55.715,3806761000,0
USDRUB_TOM,D,2015-06-30,000000,55.67,56,54.974,55.3,4231992000,0
USDRUB_TOM,D,2015-07-01,000000,55.623,55.845,55.25,55.843,3758625000,0
USDRUB_TOM,D,2015-07-02,000000,55.793,55.928,55.318,55.53,3262591000,0
USDRUB_TOM,D,2015-07-06,000000,56.263,56.997,56.2,56.889,3212001000,0
USDRUB_TOM,D,2015-07-07,000000,57.014,57.688,56.427,56.739,4596839000,0
USDRUB_TOM,D,2015-07-08,000000,56.95,57.64,56.862,57.513,4633967000,0
USDRUB_TOM,D,2015-07-09,000000,57.072,57.37,56.541,57.17,3571112000,0
USDRUB_TOM,D,2015-07-13,000000,56.581,56.86,56.335,56.52,2944116000,0
USDRUB_TOM,D,2015-07-14,000000,56.947,57.113,56.4,56.414,3449561000,0
USDRUB_TOM,D,2015-07-15,000000,56.597,56.955,56.5,56.938,3161962000,0
USDRUB_TOM,D,2015-07-16,000000,57.232,57.232,56.47,56.95,3643815000,0
USDRUB_TOM,D,2015-07-20,000000,56.823,57.068,56.716,57,2766994000,0
USDRUB_TOM,D,2015-07-21,000000,57.008,57.103,56.75,56.938,2736414000,0
USDRUB_TOM,D,2015-07-22,000000,56.958,57.5,56.93,57.445,3631324000,0
USDRUB_TOM,D,2015-07-23,000000,57.342,57.987,57.262,57.851,3983156000,0
USDRUB_TOM,D,2015-07-27,000000,58.425,59.867,58.33,59.645,5809194000,0
USDRUB_TOM,D,2015-07-30,000000,59.208,59.912,58.811,59.748,4469082000,0
USDRUB_TOM,D,2015-08-03,000000,62.05,63.618,62.05,63.515,5317198000,0
USDRUB_TOM,D,2015-08-04,000000,63.299,63.307,62.431,63.07,5300189000,0
USDRUB_TOM,D,2015-08-06,000000,63.4,64.6,63.333,64.02,4905072000,0
USDRUB_TOM,D,2015-08-10,000000,64.485,64.689,62.701,62.81,4257297000,0
USDRUB_TOM,D,2015-08-11,000000,63.312,64.52,63.04,64.28,5439325000,0
USDRUB_TOM,D,2015-08-13,000000,63.9,65.04,63.702,64.705,4338384000,0
USDRUB_TOM,D,2015-08-17,000000,65.37,65.772,65.1,65.51,3171112000,0
USDRUB_TOM,D,2015-08-19,000000,65.857,66.605,65.51,66.605,5044494000,0
USDRUB_TOM,D,2015-08-20,000000,67.1,68.038,66.767,67.959,5241544000,0
USDRUB_TOM,D,2015-08-24,000000,70.06,71.649,69.85,70.9,7517165000,0
USDRUB_TOM,D,2015-08-27,000000,68.185,68.185,65.768,66.009,7680913000,0
USDRUB_TOM,D,2015-08-28,000000,64.516,67.404,64.516,65.402,7160138000,0
USDRUB_TOM,D,2015-08-31,000000,65.499,67.43,63.719,64.249,6962418000,0
USDRUB_TOM,D,2015-09-01,000000,64.979,66.85,64.75,66.85,7266214000,0
USDRUB_TOM,D,2015-09-02,000000,67.073,68.068,66.272,67.079,7458866000,0
USDRUB_TOM,D,2015-09-03,000000,66.869,67.679,66.172,67.2,6053047000,0
USDRUB_TOM,D,2015-09-04,000000,67.263,68.539,67.043,68.42,4814654000,0
USDRUB_TOM,D,2015-09-07,000000,68.484,69.3,68.105,69.114,3131305000,0
USDRUB_TOM,D,2015-09-08,000000,68.833,69.076,67.71,67.99,3947716000,0
USDRUB_TOM,D,2015-09-09,000000,67.735,68.57,67.331,68.485,5059198000,0
USDRUB_TOM,D,2015-09-10,000000,68.75,68.88,67.435,67.668,4291523000,0
USDRUB_TOM,D,2015-09-11,000000,67.746,68.298,67.538,67.924,4340000000,0
USDRUB_TOM,D,2015-09-14,000000,67.78,68.1,67.14,67.49,3138081000,0
USDRUB_TOM,D,2015-09-15,000000,67.568,67.67,66.531,66.7,5056120000,0
USDRUB_TOM,D,2015-09-16,000000,66.683,66.683,64.91,65.33,5926565000,0
USDRUB_TOM,D,2015-09-17,000000,65.15,66.26,64.9,65.437,5070555000,0
USDRUB_TOM,D,2015-09-18,000000,66.018,66.645,65.313,66.502,5513359000,0
USDRUB_TOM,D,2015-09-21,000000,66.289,66.499,65.653,65.988,3682673000,0
USDRUB_TOM,D,2015-09-22,000000,66.196,66.744,65.99,66.022,3683745000,0
USDRUB_TOM,D,2015-09-23,000000,66.215,66.5,65.486,66.42,5139740000,0
USDRUB_TOM,D,2015-09-24,000000,66.417,66.779,66.034,66.099,4709257000,0
USDRUB_TOM,D,2015-09-25,000000,66,66,65.4,65.53,4792725000,0
USDRUB_TOM,D,2015-09-28,000000,65.697,66.18,65.331,66.085,3610380000,0
USDRUB_TOM,D,2015-09-29,000000,66.297,66.337,65.401,65.73,3435537000,0
USDRUB_TOM,D,2015-09-30,000000,65.5,66.162,65.225,65.39,5172624000,0
USDRUB_TOM,D,2015-10-01,000000,65.2,65.805,64.736,65.65,5560473000,0
USDRUB_TOM,D,2015-10-02,000000,65.806,66.689,65.629,66.012,4314450000,0
USDRUB_TOM,D,2015-10-05,000000,65.774,65.972,64.545,64.749,4643788000,0
USDRUB_TOM,D,2015-10-06,000000,64.72,65.271,63.33,63.33,5291802000,0
USDRUB_TOM,D,2015-10-07,000000,63.07,63.29,61.854,62.664,7069508000,0
USDRUB_TOM,D,2015-10-08,000000,62.523,62.711,61.28,61.37,5207659000,0
USDRUB_TOM,D,2015-10-09,000000,62.559,62.559,60.816,61.876,6367768000,0
USDRUB_TOM,D,2015-10-12,000000,61.15,62.544,60.914,62.275,4287123000,0
USDRUB_TOM,D,2015-10-13,000000,62.126,63.195,61.973,63.039,6509989000,0
USDRUB_TOM,D,2015-10-14,000000,62.951,63.303,62.542,62.709,4646804000,0
USDRUB_TOM,D,2015-10-15,000000,62.251,62.67,61.365,61.403,4356853000,0
USDRUB_TOM,D,2015-10-16,000000,60.945,62.128,60.945,61.285,4733982000,0
USDRUB_TOM,D,2015-10-19,000000,61.299,62.427,61.15,62.262,4354840000,0
USDRUB_TOM,D,2015-10-20,000000,62.403,62.403,61.66,62.115,4652025000,0
USDRUB_TOM,D,2015-10-21,000000,62.245,63.185,62.074,63.005,5589670000,0
USDRUB_TOM,D,2015-10-22,000000,62.881,62.969,62.355,62.591,4434848000,0
USDRUB_TOM,D,2015-10-23,000000,62.408,62.446,61.621,62.38,5935451000,0
USDRUB_TOM,D,2015-10-26,000000,62.14,63.03,62.106,63.02,4385203000,0
USDRUB_TOM,D,2015-10-27,000000,64.83,65.16,63.1,64.9,5564640000,0
USDRUB_TOM,D,2015-10-28,000000,64.995,65.522,63.384,63.95,6774330000,0
USDRUB_TOM,D,2015-10-29,000000,64.055,64.696,63.71,64.4,5849694000,0
USDRUB_TOM,D,2015-10-30,000000,64.447,64.666,63.479,63.958,4697453000,0
USDRUB_TOM,D,2015-11-02,000000,63.795,64.421,63.6,63.665,3363425000,0
USDRUB_TOM,D,2015-11-03,000000,63.761,64.09,62.34,62.628,4710351000,0
USDRUB_TOM,D,2015-11-05,000000,63.247,63.811,63.035,63.45,4027653000,0
USDRUB_TOM,D,2015-11-06,000000,63.33,64.831,63.33,64.598,5201725000,0
USDRUB_TOM,D,2015-11-09,000000,64.503,64.963,64.15,64.59,4181240000,0
USDRUB_TOM,D,2015-11-10,000000,64.522,64.75,64.075,64.56,4229486000,0
USDRUB_TOM,D,2015-11-11,000000,64.65,65.5,64.356,65.415,3799588000,0
USDRUB_TOM,D,2015-11-12,000000,65.464,66.653,65.28,66.635,6490962000,0
USDRUB_TOM,D,2015-11-13,000000,66.7,66.992,66.226,66.777,4857774000,0
USDRUB_TOM,D,2015-11-16,000000,66.887,66.887,65.205,65.27,5692206000,0
USDRUB_TOM,D,2015-11-17,000000,65.499,65.775,64.581,65.148,5299781000,0
USDRUB_TOM,D,2015-11-18,000000,65.156,65.497,64.542,64.753,5098489000,0
USDRUB_TOM,D,2015-11-19,000000,64.651,65.15,64.385,64.618,3813864000,0
USDRUB_TOM,D,2015-11-20,000000,64.805,65.05,64.321,64.75,3882814000,0
USDRUB_TOM,D,2015-11-23,000000,65.419,66.242,64.904,65.836,5973784000,0
USDRUB_TOM,D,2015-11-24,000000,65.949,66.475,65.18,65.452,5167421000,0
USDRUB_TOM,D,2015-11-25,000000,65.301,66.087,65.203,65.525,3802992000,0
USDRUB_TOM,D,2015-11-26,000000,65.669,66.02,65.488,65.837,2718439000,0
