Date,Open,High,Low,Close,Volume,Adj Close
2012-11-15,4410.70,4410.70,4359.60,4370.60,1000180800,4370.60
2012-11-14,4404.20,4416.30,4395.30,4410.70,728823200,4410.70
2012-11-13,4468.20,4468.80,4404.20,4404.20,895515800,4404.20
2012-11-12,4479.20,4485.70,4464.70,4469.90,735625400,4469.90
2012-11-09,4502.20,4502.20,4458.20,4482.50,800726200,4482.50
2012-11-08,4534.20,4534.20,4478.50,4502.20,806901600,4502.20
2012-11-07,4503.70,4536.30,4502.30,4534.20,811227800,4534.20
2012-11-06,4492.50,4507.80,4489.50,4503.70,526945600,4503.70
2012-11-05,4481.00,4497.00,4458.70,4493.60,736801600,4493.60
2012-11-02,4491.30,4507.50,4480.10,4483.30,959619600,4483.30
2012-11-01,4535.40,4535.40,4479.90,4479.90,1077882300,4479.90
2012-10-31,4511.70,4542.80,4511.50,4535.40,1023989600,4535.40
2012-10-30,4499.80,4518.90,4493.40,4505.70,763130600,4505.70
2012-10-29,4498.90,4523.00,4498.60,4499.40,598408000,4499.40
2012-10-26,4536.00,4547.60,4495.00,4496.30,1017943200,4496.30
2012-10-25,4529.70,4541.40,4528.00,4533.50,789117400,4533.50
2012-10-24,4568.00,4568.00,4525.60,4530.60,821395000,4530.60
2012-10-23,4562.90,4588.70,4561.50,4568.00,780915800,4568.00
2012-10-22,4582.10,4582.70,4545.90,4564.60,938152200,4564.60
2012-10-19,4580.90,4593.90,4561.60,4593.50,1016691300,4593.50
2012-10-18,4586.10,4602.50,4567.90,4580.90,994637800,4580.90
2012-10-17,4513.90,4558.70,4513.90,4550.90,932869600,4550.90
2012-10-16,4505.50,4537.90,4505.50,4513.90,713120400,4513.90
2012-10-15,4510.10,4515.00,4501.20,4505.50,646049600,4505.50
2012-10-12,4505.20,4518.40,4505.10,4510.10,626335600,4510.10
2012-10-11,4511.90,4513.40,4483.20,4505.20,765543200,4505.20
2012-10-10,4520.00,4520.60,4498.10,4511.90,817838600,4511.90
2012-10-09,4503.40,4532.60,4502.60,4526.60,634200600,4526.60
2012-10-08,4513.80,4516.00,4496.90,4502.00,553273000,4502.00
2012-10-05,4472.60,4514.90,4472.60,4513.80,762886400,4513.80
2012-10-04,4458.80,4476.20,4457.20,4472.60,815382200,4472.60
2012-10-03,4451.90,4472.90,4451.40,4458.80,736744600,4458.80
2012-10-02,4412.90,4456.40,4412.90,4451.90,794556000,4451.90
2012-10-01,4406.30,4429.40,4394.60,4408.30,000,4408.30
2012-09-28,4402.40,4413.10,4389.10,4406.30,1178863500,4406.30
2012-09-27,4378.80,4402.90,4357.90,4402.80,812431200,4402.80
2012-09-26,4387.20,4387.60,4372.70,4382.50,785410200,4382.50
2012-09-25,4409.20,4409.20,4390.00,4395.50,719905600,4395.50
2012-09-24,4430.80,4430.80,4398.60,4409.20,751008000,4409.20
2012-09-21,4420.40,4440.60,4419.40,4430.80,1364434500,4430.80
2012-09-20,4435.90,4436.00,4417.00,4419.80,1337453100,4419.80
2012-09-19,4417.80,4443.20,4410.10,4440.40,1292763600,4440.40
2012-09-18,4421.80,4426.90,4406.10,4417.80,962057000,4417.80
2012-09-17,4422.80,4430.40,4411.10,4421.80,868079000,4421.80
2012-09-14,4372.90,4417.40,4372.90,4410.20,1036663200,4410.20
2012-09-13,4383.10,4383.10,4358.80,4359.80,775003000,4359.80
2012-09-12,4348.30,4385.30,4348.30,4383.10,923568000,4383.10
2012-09-11,4357.90,4357.90,4341.40,4348.30,789668600,4348.30
2012-09-10,4348.80,4365.00,4342.60,4358.00,980678000,4358.00
2012-09-07,4331.60,4376.80,4331.60,4348.80,1128590900,4348.80
2012-09-06,4297.70,4343.30,4297.70,4331.60,1312930200,4331.60
2012-09-05,4325.60,4325.60,4281.50,4297.70,1060339500,4297.70
2012-09-04,4351.60,4356.70,4316.80,4325.50,940206400,4325.50
2012-09-03,4333.80,4358.60,4312.60,4351.60,771272800,4351.60
2012-08-31,4340.20,4351.00,4327.80,4339.00,1054806200,4339.00
2012-08-30,4381.50,4381.50,4327.60,4340.20,1121006400,4340.20
2012-08-29,4387.00,4387.00,4373.40,4381.50,911220000,4381.50
2012-08-28,4373.60,4391.90,4368.80,4387.00,816312200,4387.00
2012-08-27,4378.90,4402.90,4370.10,4372.90,784779600,4372.90
2012-08-24,4411.80,4411.80,4367.50,4376.50,916036200,4376.50
2012-08-23,4403.30,4430.30,4399.60,4411.80,1005867000,4411.80
2012-08-22,4410.80,4411.90,4394.30,4403.30,827739200,4403.30
2012-08-21,4391.90,4428.80,4388.20,4410.80,948475600,4410.80
2012-08-20,4393.80,4401.30,4372.80,4391.90,995418800,4391.90
2012-08-17,4353.50,4393.80,4353.00,4393.80,923892800,4393.80
2012-08-16,4307.00,4353.50,4307.00,4353.50,913978000,4353.50
2012-08-15,4317.40,4336.50,4293.90,4307.00,929438400,4307.00
2012-08-14,4309.50,4326.40,4299.70,4317.40,871929600,4317.40
2012-08-13,4302.80,4339.20,4302.80,4309.50,901594800,4309.50
2012-08-10,4330.10,4336.10,4302.80,4302.80,924930000,4302.80
2012-08-09,4332.90,4350.40,4330.10,4330.10,853731600,4330.10
2012-08-08,4311.40,4342.70,4311.40,4332.90,994273400,4332.90
2012-08-07,4292.90,4313.90,4292.90,4311.40,662444000,4311.40
2012-08-06,4243.00,4307.80,4243.00,4292.90,563027600,4292.90
2012-08-03,4290.10,4290.10,4235.10,4243.00,810638200,4243.00
2012-08-02,4282.70,4300.60,4276.80,4290.10,991731200,4290.10
2012-08-01,4289.40,4289.40,4274.30,4282.70,805623200,4282.70
2012-07-31,4266.90,4305.60,4266.90,4289.40,896987200,4289.40
2012-07-30,4234.40,4277.40,4234.40,4266.90,714745400,4266.90
2012-07-27,4173.80,4234.40,4173.80,4234.40,882553000,4234.40
2012-07-26,4151.40,4176.30,4150.10,4173.80,774965400,4173.80
2012-07-25,4161.20,4161.20,4114.00,4151.40,778327000,4151.40
