Date	High	Low	Open	Volume	Close	Dividend
10/12/2012	69969.05	69407.45	69677.88	0	69603.13	
10/11/2012	69656.61	68502.89	68564.58	0	69577.6	
10/10/2012	68597.71	67869.28	67914.24	0	68457.58	
10/09/2012	68126.43	67328.15	67698.25	0	68062.86	
10/08/2012	67608.02	67103.57	67345.61	0	67435.37	
10/05/2012	67736.59	67116.21	67164.8	0	67383.68	
10/04/2012	66952.95	65639.64	66635.55	0	66909.38	
10/03/2012	67809.44	66803.1	67515.04	0	66822.36	
10/02/2012	67582.32	66898.38	66898.38	0	67498.2	
10/01/2012	66874.84	65967.41	66270.14	0	66754.88	
09/28/2012	67192.72	66093.97	67073.96	0	66396.71	
09/27/2012	67153.55	66739.57	67015.18	0	66770.56	
09/26/2012	68001.13	66653.11	67411.27	0	66675.67	
09/25/2012	67809.58	66975.25	67329.26	0	67809.58	
09/24/2012	67723.62	66827.55	67419.16	0	67207.14	
09/21/2012	68142.93	67199.05	67289.13	0	67891.46	
09/20/2012	67125.85	66473.11	66712	0	67001.68	
09/19/2012	67968.39	66909.24	67890.29	0	67114.82	
09/18/2012	68183.23	67379.53	68065.72	0	67600.35	
09/17/2012	68258.67	67784.78	68005.06	0	68092.28	
09/14/2012	68537.63	68008.48	68151.98	0	68180.49	
09/13/2012	68460.42	67256.46	68318.21	0	67290.68	
09/12/2012	68540.68	68019.88	68246.77	0	68184	
09/11/2012	68382.73	67897.53	68079.65	0	68105.07	
09/10/2012	68431.1	68047.73	68121.96	0	68121.6	
09/07/2012	68266.42	67447.69	67773.67	0	67937.05	
09/06/2012	67876.44	67069.21	67823.18	0	67714.84	
09/05/2012	67717.27	66709.08	66984.65	0	67559.48	
09/04/2012	67507.09	66863.48	67304.73	0	66898.1	
09/03/2012	67441.2	66862.79	67304.02	0	67208.22	
08/31/2012	67367.95	65803.56	65936.21	0	67367.95	
08/29/2012	66399.52	65858	66213.19	0	66152.55	
08/28/2012	66576.35	66023.17	66059.71	0	66139.3	
08/27/2012	66082.59	65695.22	65695.22	0	65941.56	
08/24/2012	66272.74	65654.31	65959.75	0	65654.31	
08/23/2012	66599.17	65905.43	66386.73	0	66079.48	
08/22/2012	66340.72	65517.93	65808.45	0	66108.84	
08/17/2012	65953.69	65172.51	65172.51	0	65758.47	
08/16/2012	65180.87	64764.05	64764.44	0	64916.23	
08/15/2012	64660.76	63739.79	64168.36	0	64611.75	
08/14/2012	65386.54	64083.42	65327.71	0	64160.81	
08/13/2012	65595.81	64984.4	65027.79	0	65148.93	
08/10/2012	65126	64161.2	64397.6	0	65126	
08/09/2012	65247.97	64022	64962.77	0	64501.13	
08/08/2012	65100.19	64592.15	64814.67	0	64698.63	
08/07/2012	65924.15	64840.98	65664.52	0	64938.36	
08/06/2012	66140.92	65320.43	65320.43	0	65576.79	
08/03/2012	65444.94	63513.05	63794.23	0	65303.64	
08/02/2012	64567.08	63265.15	64026.52	0	63777.91	
08/01/2012	64546.08	63924.17	64206.63	0	64081.17	
07/31/2012	65189.82	64007.92	64929.35	0	64259.54	
07/30/2012	65150.56	64151.83	64522.86	0	65032.05	
07/27/2012	64498.27	63647.4	63853.86	0	64372.81	
07/26/2012	63840.98	61895.53	61895.53	0	63840.98	
07/25/2012	61845.72	61154.06	61167.71	0	61707.54	
07/24/2012	61573.86	60640.77	60832.05	0	61303.26	
07/23/2012	61390.59	60466.68	61390.59	0	60736.81	
07/20/2012	62474.31	61404.86	62383.68	0	61792.16	
07/19/2012	62778.97	62307.1	62677.76	0	62340.84	
07/18/2012	62902.15	62107.55	62568.93	0	62444.93	
07/17/2012	62943.96	62361.12	62929.81	0	62472.82	
07/16/2012	63019.76	62428.38	62717.15	0	62675.31	
07/13/2012	62830.79	62298.87	62476.78	0	62662.16	
07/12/2012	63088.42	62107.6	63051.74	0	62324.64	
07/11/2012	63548.97	62884.68	63138.63	0	63048.76	
07/10/2012	63575.71	62554.56	62682.87	0	63123.95	
07/09/2012	63022.4	62420.64	62725.43	0	62608.13	
07/06/2012	62790.25	61945.61	62118.12	0	62780.58	
07/05/2012	63158.45	61972.14	62977	0	61972.14	
07/04/2012	63074.17	62500.41	62880.97	0	62986.09	
07/03/2012	62757	62133.02	62133.02	0	62721.31	
07/02/2012	62418.24	61742.34	62310.19	0	61951.16	
06/29/2012	62543.49	61359.07	61500.9	0	62543.49	
06/28/2012	61407.81	60434.86	61278	0	60822.57	
06/27/2012	61249.91	60279.46	60292.23	0	61184.33	
06/26/2012	60178.74	59512.97	59704.72	0	60126.55	
06/25/2012	60149.7	59479.36	59860.96	0	59479.36	
06/22/2012	60663.63	59991.32	60119.41	0	60451.41	
06/21/2012	60815.43	59287.95	59362.59	0	60439.83	
06/20/2012	60068.21	59401.26	59942.59	0	59401.26	
06/19/2012	59299.68	58343.54	58343.54	0	59299.68	
06/18/2012	58979.36	58145.07	58897.55	0	58324.86	
06/15/2012	58663.53	58183.9	58632.97	0	58467.79	
06/14/2012	58512.65	58130.93	58343.26	0	58364.67	
06/13/2012	58546.09	57943.05	58450.69	0	58250.48	
06/12/2012	58201.29	57524.49	57546.5	0	58201.29	
06/11/2012	58274.25	57504.82	58243.09	0	57504.82	
06/08/2012	57365.55	56147.4	56449.05	0	57300.02	
06/07/2012	57069.6	56471.75	56570	0	56695.71	
06/06/2012	56248.45	55762.06	56054.66	0	56248.45	
06/05/2012	56166.65	55606.17	55950.18	0	55799.77	
06/04/2012	55970.25	55132.45	55191.67	0	55744.29	
06/01/2012	55574.47	54366.31	55125.19	0	55568.37	
05/31/2012	55790.43	54946.87	55196.6	0	55099.33	
05/30/2012	55418.28	54724.27	55169.99	0	55125.29	
05/29/2012	55652.01	54807.12	54946.79	0	55449.51	
05/28/2012	55175.78	54594.58	55091.48	0	54843.93	
05/25/2012	55206.39	53997.64	54127.57	0	54809.94	
05/24/2012	56088.79	54867.44	55959.78	0	54916.61	
05/23/2012	56662.82	55598.93	56442.24	0	55734.34	
05/22/2012	57134.77	56519.75	57033.5	0	57079.47	
05/21/2012	57484.56	56539.64	57240.13	0	56539.64	
05/18/2012	57286.37	56404.94	56697.35	0	56935.76	
05/17/2012	58316.23	57174.84	57934.26	0	57331.17	
05/16/2012	58164.96	56716.99	56968.61	0	58100.85	
05/15/2012	58174.46	57090.91	58012.3	0	57453.05	
05/14/2012	58906.66	57779	58677.99	0	57853.86	
05/11/2012	58886.88	58376.78	58446.64	0	58872.62	
05/10/2012	58953.46	58334.58	58432.73	0	58820.76	
05/09/2012	58973.39	58082.01	58917.79	0	58092.99	
05/08/2012	59325.48	58630.45	58942	0	58749.33	
05/07/2012	58841.23	58047.71	58248.77	0	58809.68	
05/04/2012	59574.47	58820.1	59446.18	0	59015.69	
05/03/2012	59557.03	59138.92	59138.92	0	59285.68	
05/02/2012	60314.99	58851.15	59971.69	0	58943.71	
04/30/2012	60861.81	59698.35	60794.65	0	60010.42	
04/27/2012	61076.07	60248.82	60557.53	0	60596.68	
04/26/2012	60692.46	59875.6	60044	0	60677.81	
04/25/2012	60318.43	59241.23	60114.13	0	59940.54	
04/24/2012	60005.5	59376.37	59571.57	0	59706.03	
04/20/2012	60314.97	59849.01	59941.94	0	60122.9	
04/19/2012	60553.01	59695.6	60283.41	0	59848.46	
04/18/2012	61245.32	59985.84	61104.74	0	60131.94	
04/17/2012	61166.13	60221.2	60395.09	0	60652.56	
04/16/2012	60988.78	59983.08	60205.66	0	60478.5	
04/13/2012	61246.78	60519.91	60968.51	0	60582.6	
04/12/2012	61007.32	60178.54	60889.92	0	60890.09	
04/11/2012	60709.82	59388.42	59823.55	0	60709.82	
04/10/2012	61112.27	59987.73	61004.94	0	59987.73	
04/09/2012	61104.36	60474.43	60866.9	0	60813.25	
04/06/2012	61837.59	60832.01	61818.23	0	60939.55	
04/05/2012	62653.91	61652.28	62566.41	0	62062.69	
04/04/2012	62941.84	62317.8	62941.84	0	62463.96	
04/03/2012	63616.88	63030.04	63244.46	0	63284.54	
04/02/2012	62975.42	62392.06	62598.34	0	62969.32	
03/30/2012	62509.91	61925.21	61925.21	0	62423.04	
03/29/2012	61880.61	61401.52	61757.28	0	61544.94	
03/28/2012	62434.98	61642.02	62159.87	0	61815.1	
03/27/2012	63035.28	62357.09	62864.54	0	62490.95	
03/26/2012	62561.66	61093.44	61139.69	0	62561.47	
03/23/2012	62165.32	61248.92	61949.28	0	61417.44	
03/22/2012	62449	61716.36	62345.19	0	61786.74	
03/21/2012	62617.55	62028.75	62358.01	0	62064.97	
03/20/2012	62499.18	61595.58	62447.64	0	62164.06	
03/19/2012	63015.6	62151.71	62424.34	0	62537.33	
03/16/2012	62376.89	61296.94	61296.94	0	62336.32	
03/15/2012	61412.42	60790.77	60960.94	0	61279.31	
03/14/2012	61033.21	59879.08	59879.08	0	60835.74	
03/13/2012	59954.31	59388.46	59544.77	0	59389.02	
03/12/2012	59418.42	58778.01	59146.31	0	59009.47	
03/09/2012	59945.28	59101.16	59927.75	0	59280.43	
03/08/2012	60512.18	59591.29	59904.47	0	59673.75	
03/07/2012	59718.75	58937.7	59286.64	0	59479.73	
03/06/2012	59751.95	58862.68	59716.51	0	59143.43	
03/05/2012	60608.84	59617.6	60608.84	0	59685.48	
03/02/2012	60992.76	60454.03	60611.22	0	60902.41	
03/01/2012	61022.05	60143.29	60398.69	0	60725.88	
02/29/2012	60943.85	59785.91	60122.79	0	60721.23	
02/28/2012	60166.23	59126.58	59235.55	0	59978.49	
02/27/2012	59638.07	58378.71	59571.97	0	58821.82	
02/24/2012	60164.62	59142.79	59946.25	0	59737.53	
02/23/2012	60927.21	59640.42	60895.5	0	59666.62	
02/22/2012	61623.38	60768.27	61404.37	0	60856.43	
02/21/2012	61629.81	60759.19	61453.87	0	61252.83	
02/20/2012	61778.66	61323.39	61599.03	0	61449.07	
02/17/2012	61111.3	60257.27	60442.13	0	61111.3	
02/16/2012	60034.61	59147.2	59407.65	0	60030.14	
02/15/2012	60512.48	59532.82	60298.91	0	59847.64	
02/14/2012	60856.06	59500.78	60534.23	0	59662.13	
02/13/2012	60730.36	59806.56	59806.56	0	60557.48	
02/10/2012	60141.69	58988.29	59807.17	0	59332.11	
02/09/2012	61587.57	60012.83	61261.42	0	60162.52	
02/08/2012	61308.45	60871.5	61046.16	0	61178.25	
02/07/2012	61080.37	60380.51	60873.28	0	60545.87	
02/06/2012	60674.87	59528	59917.51	0	60674.87	
02/03/2012	60442.83	59628.99	59872.21	0	60147.96	
02/02/2012	60089.37	58553.24	59227.07	0	60051.94	
02/01/2012	59334.51	57079.66	57079.66	0	59215.65	
01/31/2012	58471.9	56904.88	58236.2	0	57171.34	
01/30/2012	57848.91	56916.59	57053.88	0	57811.79	
01/27/2012	57581.86	56656.55	56743.27	0	57356.72	
01/26/2012	57266.29	55513.93	55513.93	0	56958.83	
01/25/2012	55418.82	54745.81	55042.68	0	54918.68	
01/24/2012	55293.55	54223.73	55052.79	0	54790.84	
01/23/2012	55450.77	54478.96	54773.24	0	55186.21	
01/20/2012	55056.62	54352.6	54868.7	0	54888.55	
01/19/2012	54896.66	54009.47	54455.65	0	54607.89	
01/18/2012	54398.76	53151.1	53466.61	0	54384.76	
