"","date","BTC","ETH","XRP","BCH","LTC","ADA","NEO","XLM","EOS","DASH","XMR","MIOTA","XEM","ETC","TRX","VEN","LSK","USDT"
"2017-11-05","2017-11-05",7407.41,296.26,0.202055,630.7,54.75,0.020635,26.38,0.026765,1.09,273.17,86.35,0.350084,0.180309,13.24,0.002219,0.208844,4.44,0.9988
"2017-11-06","2017-11-06",7022.76,298.89,0.20599,602.65,55.17,0.021881,26.32,0.02888,0.91695,275.68,102.92,0.373939,0.186642,14.33,0.002125,0.229622,4.59,1
"2017-11-07","2017-11-07",7144.38,294.66,0.210354,616.3,61.3,0.022195,26.23,0.030699,0.951407,293.38,99.76,0.383096,0.180246,13.92,0.002184,0.243587,5.19,1.01
"2017-11-08","2017-11-08",7459.69,309.07,0.217437,622.46,62.57,0.025186,30.67,0.033763,1.13,316.33,113.31,0.475925,0.194292,14.02,0.002338,0.262915,6.05,1.01
"2017-11-09","2017-11-09",7143.58,320.88,0.217488,654.3,64.27,0.032053,31.9,0.039946,1.18,326.01,120.78,0.535435,0.220927,14.21,0.002344,0.269108,6.45,1.01
"2017-11-10","2017-11-10",6618.14,299.25,0.206483,1007.42,59.26,0.027119,28.18,0.033073,1.03,329.57,105.59,0.504601,0.192903,14.6,0.002013,0.240991,5.64,1.01
"2017-11-11","2017-11-11",6357.6,314.68,0.21043,1340.45,62.3,0.027437,28.53,0.033053,1.16,346.06,119.62,0.621817,0.192428,19.42,0.002003,0.238159,5.78,1.01
"2017-11-12","2017-11-12",5950.07,307.91,0.197339,1388.86,59.01,0.023977,26.96,0.028182,1.09,536.12,123.86,0.593716,0.180406,15.18,0.001783,0.206923,5.5,1.01
"2017-11-13","2017-11-13",6559.49,316.72,0.203442,1353.99,61.4,0.025808,28.4,0.030656,1.18,427.37,123.4,0.591634,0.192662,16.11,0.002112,0.223694,6.34,1.01
"2017-11-14","2017-11-14",6635.75,337.63,0.209825,1273.53,62.68,0.02623,29.73,0.036374,1.67,427.54,122.35,0.610332,0.194469,17.87,0.002485,0.235506,7.1,1.01
"2017-11-15","2017-11-15",7315.54,333.36,0.212956,1212.4,63.82,0.026445,29.35,0.037053,1.67,424.41,121.37,0.785823,0.193879,17.55,0.002322,0.264633,8.45,1
"2017-11-16","2017-11-16",7871.69,330.92,0.227107,900.78,71.06,0.02758,28.7,0.037234,1.65,418.18,120.31,0.823941,0.196787,16.88,0.002209,0.276348,8.41,1
"2017-11-17","2017-11-17",7708.99,332.39,0.226581,1185.48,67.57,0.025773,40.5,0.035572,1.75,424.98,126.7,0.792462,0.192635,17.24,0.001984,0.257303,8.28,1
